job_level,min_salary,max_salary,average_salary,requirements_details,bonus_details,job_count,source_zangia,source_lambda,requirement_1_name,requirement_1_details,requirement_2_name,requirement_2_details,requirement_3_name,requirement_3_details,requirement_4_name,requirement_4_details,requirement_5_name,requirement_5_details,bonus_1_name,bonus_1_description,bonus_2_name,bonus_2_description,bonus_3_name,bonus_3_description,bonus_4_name,bonus_4_description,bonus_5_name,bonus_5_description
Ажилтан,1500000,3500000,2200000,"Худалдааны зөвлөхийн ажилд тусгай нарийн мэргэжил шаардахгүй ч харилцааны өндөр соёл, хувийн зохион байгуулалт, багаар ажиллах чадвар болон тууштай ажиллах хандлагыг гол шалгуур болгодог. Гадаад хэлний мэдлэг болон өмнөх ажлын туршлага нь цалингийн хэмжээг нэмэгдүүлэх давуу тал болдог.","Худалдааны зөвлөхийн албан тушаалд үндсэн цалингаас гадна борлуулалтын төлөвлөгөө биелэлтээс хамаарсан хувь, урамшуулал хамгийн их нөлөөлдөг. Мөн ихэнх байгууллагууд хоол, унаа, утасны хөнгөлөлт үзүүлдэг байна.",982,955,27,Харилцааны ур чадвар,"Үйлчлүүлэгчид бараа бүтээгдэхүүнийг тайлбарлах, зөвлөгөө өгөх, эелдэг боловсон харилцах чадвар.",Боловсрол,Бүрэн дунд эсвэл бакалаврын боловсролтой байх (ихэвчлэн мэргэжил харгалзахгүй).,Ажлын туршлага,"Худалдаа, үйлчилгээний салбарт ажиллаж байсан туршлагатай бол давуу тал болно, гэхдээ шинэ төгсөгчдийг сургаж авна.",Хувийн зохион байгуулалт,"Цаг баримталдаг, хувийн зохион байгуулалт сайтай, цэвэрч нямбай байх.",Багаар ажиллах чадвар,"Хамт олонтой эв нийцтэй, багаар ажиллах чадвартай, эерэг хандлагатай байх.",Борлуулалтын урамшуулал,Борлуулалтын төлөвлөгөө биелэлтээс хамааран сар бүр олгодог нэмэлт урамшуулал.,Хоолны мөнгө,Ажилтны өдрийн хоолны зардлыг компаниас бүрэн эсвэл хэсэгчлэн хариуцна.,Утасны хөнгөлөлт,Ажил үүргийн гүйцэтгэлд шаардлагатай утасны ярианы болон датаны төлбөрийн хөнгөлөлт.,Жилийн эцсийн урамшуулал,Байгууллагын жилийн эцсийн үр дүн болон ажилтны гүйцэтгэлээс хамаарсан 13 дахь сарын цалин эсвэл бонус.,Илүү цагийн хөлс,Хуулийн дагуу илүү цагаар ажилласан тохиолдолд олгох нэмэгдэл хөлс.
Мэргэжилтэн,1500000,4500000,2750000,"Нягтлан бодогчийн албан тушаалд тавигдах гол шаардлага нь мэргэжлийн бакалаврын боловсрол болон санхүүгийн программууд (ялангуяа Smart, Diamond, ERP) дээр ажиллах чадвар юм. Туршлагатай (2-3 жил) ажил горилогчдыг илүүд үздэг бөгөөд Мэргэшсэн нягтлан бодогчийн эрхтэй бол цалингийн дээд түвшинд хүрэх боломжтой байна. Мөн Excel программын ахисан түвшний мэдлэг, тайлан баланс бие даан гаргах чадварыг чухалчилдаг.","Нягтлан бодогчийн ажлын байрны хувьд үндсэн цалингаас гадна гүйцэтгэлийн урамшуулал (KPI) хамгийн түгээмэл байна. Томоохон компаниуд (Ж: МАК, Таван Богд, Номин гэх мэт) жилийн эцсийн урамшуулал, хоол унааны мөнгө, утасны хөнгөлөлт зэргийг санал болгож байна. Мөн мэргэшсэн нягтлан бодогчийн эрхтэй бол мэргэжлийн нэмэгдэл олгодог нийтлэг жишиг ажиглагдаж байна.",2286,2115,171,Боловсролын түвшин,"Санхүү, Нягтлан бодох бүртгэл, Эдийн засаг зэрэг чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй байх.",Ажлын туршлага,Мэргэжлээрээ 1-3 жил ажилласан туршлагатай байх нь нийтлэг шаардлага бөгөөд ахлах түвшний байр сууринд 5+ жил шаардаж байна.,Программ хангамж,"Smart, Diamond, ERP системүүд болон Microsoft Excel программыг ахисан түвшинд эзэмшсэн байх шаардлагатай.",Мэргэжлийн эрх,Мэргэшсэн нягтлан бодогч (CPA) эсвэл Татварын итгэмжлэгдсэн зөвлөх (ТМЗ) эрхтэй бол давуу тал болно.,Гадаад хэл,Англи хэлний дундаас дээш түвшний мэдлэгтэй байх (зарим олон улсын харилцаатай компаниудад).,Гүйцэтгэлийн урамшуулал (KPI),"Ажилтны ажлын гүйцэтгэл, үр дүнгээс хамааран сар, улирал, эсвэл жилийн эцсээр олгодог мөнгөн урамшуулал. Зарим зарлалд 'KPI' буюу гүйцэтгэлийн үнэлгээгээр олгоно гэж заасан байна.","Хоол, унааны хөнгөлөлт","Ажилтны өдрийн хоолны зардал болон ажилдаа ирж очих унааны зардлыг компаниас бүрэн эсвэл хэсэгчлэн хариуцах, эсвэл бэлэн мөнгөөр олгох хөнгөлөлт.",Жилийн эцсийн урамшуулал,"Компанийн жилийн орлого, ашиг болон ажилтны ажилласан жилээс хамаарч жилд нэг удаа олгодог 13 дахь сарын цалин эсвэл бонус.",Мэргэжлийн зэргийн нэмэгдэл,Мэргэшсэн нягтлан бодогч (CPA) эсвэл Татварын итгэмжлэгдсэн нягтлан бодогч (ТМЗ) зэрэгтэй бол үндсэн цалин дээр нэмэгдэл олгох.,Утасны хөнгөлөлт,Ажилтны хувийн гар утасны ярианы болон дата хэрэглээний төлбөрийг компаниас төлөх хөнгөлөлт.
Мэргэжилтэй ажилтан,1500000,3500000,2300000,"Няравын ажлын байранд хамгийн чухал шаардлага бол 'нягт нямбай' байдал болон 'тооцоолон бодох' чадвар юм. Ажил олгогчид санхүүгийн анхан шатны мэдлэгтэй, Excel болон нягтлан бодох бүртгэлийн программууд дээр ажиллаж чаддаг, өмнө нь ижил төстэй ажил хийж байсан туршлагатай хүмүүсийг илүүд үздэг. Мөн бараа материал хариуцаж байгаа тул 'үнэнч шударга', 'хариуцлагатай' байх нь гол шалгуур болдог.","Нярав буюу агуулахын ажилтны хувьд үндсэн цалингаас гадна гүйцэтгэлийн үнэлгээ (KPI)-ээс хамаарсан урамшуулал түгээмэл байдаг. Үүнд бараа материалын тооллогын зөрүүгүй байдал, ажлын цаг ашиглалт зэрэг үзүүлэлтүүд нөлөөлдөг. Мөн ихэнх байгууллагууд өдрийн хоолны мөнгө болон илүү цагийн хөлсийг олгодог байна.",330,319,11,Ажлын туршлага,"Нярав, бүртгэл тооцоо, бараа материалын чиглэлээр 1-ээс дээш жил ажилласан туршлагатай байх шаардлага түгээмэл тавигддаг.",Боловсрол,"Санхүү, нягтлан бодох бүртгэл, эдийн засгийн чиглэлээр их дээд сургууль төгссөн байх (Бакалавр болон түүнээс дээш зэрэг).",Компьютерын мэдлэг,"Оффисын хэрэглээний программууд (Excel, Word) болон санхүүгийн программ (Smart, Diamond гэх мэт) дээр ажиллах чадвартай байх.",Хувийн ур чадвар,"Эмх цэгцтэй, нягт нямбай, хариуцлагатай, тооцоолон бодох чадвар сайн, багаар ажиллах чадвартай байх.","Нас, Хүйс","Зарим ажлын байранд (ялангуяа барилга, уул уурхай) 35-аас дээш насны эрэгтэй байх шаардлага тавигддаг.",Гүйцэтгэлийн урамшуулал (KPI),"Ажилтны ажлын гүйцэтгэл, үр дүнгээс хамааран сар, улирал, жилийн эцсийн урамшуулал олгодог.",Хоолны хөнгөлөлт,Байгууллагын зүгээс ажилчдын өдрийн хоолны зардлыг даах эсвэл хоолоор хангах.,Илүү цагийн хөлс,Ажлын цагаас хэтэрсэн цагаар ажилласан тохиолдолд хуулийн дагуу илүү цагийн нэмэгдэл олгоно.,Ажилласан жилийн нэмэгдэл,Тогтвор суурьшилтай ажилласан жилээс хамааран цалингийн нэмэгдэл олгодог.,,
Ахлах менежер / Нэгжийн удирдлага,2500000,7000000,4000000,"Энэхүү албан тушаалд зөвхөн борлуулалтын туршлагаас гадна удирдан зохион байгуулах манлайллын ур чадвар чухал. Томоохон компаниуд гадаад хэлний өндөр мэдлэг (ялангуяа Англи хэл) болон ERP систем дээр ажиллах чадварыг гол шалгуур болгодог. Мөн салбарын онцлогоос хамааран техникийн эсвэл инженерийн мэдлэг шаардах тохиолдол бий (Жишээ нь: Уул уурхай, Техникийн борлуулалт).","Борлуулалтын ахлах менежерийн албан тушаалд үндсэн цалингаас гадна борлуулалтын хувь, төлөвлөгөөний биелэлтээс хамаарсан урамшуулал (KPI) нь нийт орлогын томоохон хэсгийг бүрдүүлдэг. Уул уурхай, банк санхүү, томоохон групп компаниудад (Монос, Таван Богд, MCS гэх мэт) 13 дахь сарын цалин, хувийн эрүүл мэндийн даатгал, уян хатан ажлын цаг зэрэг нэмэлт хангамжууд түгээмэл байдаг.",314,281,33,Боловсрол,"Бизнесийн удирдлага, Маркетинг, Худалдаа эсвэл тухайн салбарын (Жишээ нь: Инженер, Санхүү) чиглэлээр Бакалавр болон түүнээс дээш зэрэгтэй байх.",Ажлын туршлага,"Борлуулалт, маркетингийн чиглэлээр 3-5 жил, үүнээс удирдах албан тушаалд 2-оос доошгүй жил ажилласан туршлагатай байх шаардлагатай.",Ур чадвар,"Баг удирдах, манлайлах, стратеги төлөвлөлт хийх, хэлэлцээр хийх, шийдвэр гаргах, харилцааны өндөр ур чадвартай байх.",Хэлний мэдлэг,"Англи хэлний ярианы болон бичгийн дундаас дээш түвшний мэдлэгтэй байх (Орос, Хятад хэлтэй бол давуу тал болдог).",Компьютерийн мэдлэг,"MS Office (Excel, PowerPoint) болон ERP, CRM программууд дээр ажиллах, дата дүн шинжилгээ хийх чадвартай байх.",Гүйцэтгэлийн урамшуулал (KPI Bonus),"Борлуулалтын төлөвлөгөөний биелэлтээс хамаарсан сар, улирал, жилийн гүйцэтгэлийн урамшуулал олгодог.","Хоол, унааны хөнгөлөлт",Өдрийн хоол болон унааны зардлыг компаниас бүрэн эсвэл хэсэгчлэн хариуцдаг.,Утасны хөнгөлөлт,Ажил үүргийн онцлогоос хамааран гар утасны ярианы болон дата эрхийн төлбөрийг компани хариуцдаг.,Хувийн эрүүл мэндийн даатгал,"Зарим томоохон компаниуд (Жишээ нь: Монос, Таван Богд, Milk JSC) ажилтнууддаа хувийн эрүүл мэндийн даатгал санал болгодог.","Сургалт, хөгжил","Мэргэжил дээшлүүлэх сургалтад хамруулах, сургалтын төлбөрийн дэмжлэг үзүүлэх."
Менежер / Супервайзор,1500000,5000000,3000000,"Борлуулалтын менежерийн цалин нь туршлага болон ур чадвараас шууд хамаардаг. Шинэ төгсөгч эсвэл 1-2 жилийн туршлагатай менежерүүд дунджаар 1.5-2.0 сая төгрөгийн цалинтай байдаг бол, 3-5 жилийн туршлагатай, баг удирдах чадвартай, гадаад хэлний мэдлэгтэй (ялангуяа Англи, Хятад) менежерүүдийн цалин 3.0-4.5 сая төгрөгт хүрдэг. B2B (Байгууллагын борлуулалт) болон уул уурхай, барилга, технологийн салбарын борлуулалтын менежерүүд FMCG (өргөн хэрэглээний бараа) салбараас харьцангуй өндөр цалин авах хандлагатай байна. Мөн Excel дээр ахисан түвшний тайлан гаргах, CRM программ ашиглах чадвар нь цалингийн үнэлгээг нэмэгдүүлэх гол хүчин зүйл болдог.","Борлуулалтын менежерийн цалингийн бүтцэд үндсэн цалингаас гадна борлуулалтын гүйцэтгэлээс хамаарсан урамшуулал (KPI bonus) хамгийн их жин дардаг. Ихэнх компаниуд борлуулалтын төлөвлөгөөгөө давуулан биелүүлсэн тохиолдолд борлуулалтын дүнгээс хувь тооцох эсвэл тогтсон дүнгээр урамшуулал олгодог. Мөн удирдах түвшний болон томоохон компаниудад (Жишээ нь: Оюу Толгой, МС-Си-Эс гэх мэт том компаниудын ханган нийлүүлэгчид эсвэл томоохон дистрибьютерүүд) улирал болон жилийн эцсийн үр дүнгийн бонус олгодог нь цалинг 15-30% нэмэгдүүлэх боломжтой. Үүнээс гадна утас, унаа, хоолны мөнгө зэрэг нь шууд бус орлого болж, нийт багцыг бүрдүүлдэг.",925,845,80,Боловсрол,"Бизнесийн удирдлага, Маркетинг, Худалдаа, Олон улсын харилцаа эсвэл тухайн салбарын (ж.нь: инженеринг, хүнс) чиглэлээр Бакалавр болон түүнээс дээш зэрэгтэй байх.",Ажлын туршлага,"Борлуулалт, маркетингийн чиглэлээр 2-3 болон түүнээс дээш жил ажилласан туршлагатай байх. Ахлах менежерийн түвшинд 5+ жил, баг удирдах туршлага шаардана.",Зөөлөн ур чадвар,"Харилцааны өндөр соёлтой, хэлэлцээр хийх (negotiation), илтгэх, ятган үнэмшүүлэх, багаар ажиллах болон хувийн зохион байгуулалт сайтай байх.",Компьютерийн мэдлэг,"MS Office (Excel, PowerPoint, Word) программыг ахисан түвшинд эзэмшсэн байх, борлуулалтын тооцоолол, тайлан гаргах, дата анализ хийх чадвартай байх.",Гадаад хэл,Англи хэлний ярианы болон бичгийн дундаас дээш түвшний мэдлэгтэй байх (Зарим компаниудад Хятад эсвэл Орос хэл давуу тал болно).,"Борлуулалтын хувь, урамшуулал","Борлуулалтын төлөвлөгөөний биелэлтээс хамааран сар, улирал, эсвэл жилийн эцсээр олгодог үндсэн цалин дээр нэмэгддэг гол урамшуулал. Энэ нь борлуулалтын менежерийн орлогын томоохон хэсгийг бүрдүүлдэг.",Жилийн эцсийн бонус,Компанийн үр дүн болон хувь хүний гүйцэтгэлийн үнэлгээнээс хамаарч жилд нэг удаа буюу жилийн эцэст олгодог мөнгөн урамшуулал.,Хоолны мөнгө / Үнэгүй хоол,"Ажилтны өдрийн хоолны зардлыг компаниас бүрэн буюу хэсэгчлэн хариуцах, эсвэл ажлын байран дээр үнэгүй хоолоор хангах хэлбэрээр олгодог.",Утасны хөнгөлөлт,Ажил үүргээ гүйцэтгэхэд шаардлагатай харилцаа холбооны зардлыг компаниас тодорхой лимитээр эсвэл бүрэн хариуцах.,"Унаа, шатахууны дэмжлэг",Борлуулалтын ажлаар гадуур явах шаардлагатай үед унааны мөнгө олгох эсвэл шатахууны зардлыг компаниас нөхөн олгох.
Мэргэжилгүй ажилтан,2000000,2500000,2250000,"Энэхүү ажлын байр нь жолооч болон төлбөр барагдуулагчийн хосолсон үүрэгтэй тул жолооны зохих ангиллын үнэмлэхтэй байх, замын хөдөлгөөнд аюулгүй оролцох чадвар болон харилцааны өндөр соёлтой байхыг шаардана.","Тус ажлын байр нь үндсэн цалингаас гадна улирлын гүйцэтгэлийн бонус, хүүхэд харах үйлчилгээний дэмжлэг болон унааны асуудлыг шийдвэрлэсэн багц хангамжуудыг санал болгож байна.",50,48,2,Туршлага,Төлбөр барагдуулах чиглэлээр ажиллаж байсан туршлагатай байх магадлалтай.,Тусгай зөвшөөрөл,"В, С ангиллын жолооны үнэмлэхтэй, хотын хөдөлгөөнд оролцох чадвартай байх.",Хувийн зан чанар,"Тогтвор суурьшилтай ажиллах, хариуцлагатай байх.",,,,,Улирал бүр бонус,Ажилтан улирал тутамд ажлын гүйцэтгэлээс хамаарсан урамшуулал авах боломжтой.,Компаний машин/унаа,Ажил гүйцэтгэхэд зориулсан компанийн машин эсвэл унааны зардлын хөнгөлөлт.,Хүүхэд асрах дэмжлэг,Байгууллагын зүгээс ажилтны хүүхэд асрах үйлчилгээнд дэмжлэг үзүүлнэ.,Ажилчдын хямдрал,Байгууллагын үйлчилгээ эсвэл бүтээгдэхүүнээс ажилчдын хөнгөлөлт эдлэх эрх.,,
Ахлах мэргэжилтэн,3500000,6000000,4750000,"Ахлах хөгжүүлэгчийн (Senior Software Engineer) ажлын байранд зөвхөн код бичих чадвараас гадна системийн архитектур гаргах, Cloud орчинд ажиллах (AWS, GCP), DevOps процессыг ойлгох шаардлага өндөр байна. Мөн олон улсын төслүүд дээр ажиллах боломжтой тул Англи хэлний ахисан түвшний мэдлэг болон багаа удирдан чиглүүлэх (Mentoring) чадварыг чухалчилж байна.","Мэдээллийн технологийн салбарын ахлах түвшний мэргэжилтнүүдийн хувьд цалингаас гадна халамжийн багц өндөр байдаг. Ялангуяа 'AND Global', 'Юбикаб', 'Dentsu Data Artist' зэрэг компаниуд хувийн эрүүл мэндийн даатгал, уян хатан ажлын цаг, хоолны хөнгөлөлт болон гүйцэтгэлээс хамаарсан улирал/жилийн бонужуудыг санал болгож байна.",404,371,33,Боловсрол,"Компьютерийн ухаан, Програм хангамж, Мэдээллийн технологийн чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй байх.",Ажлын туршлага,Мэргэжлээрээ тасралтгүй 3-5 болон түүнээс дээш жил ажилласан туршлагатай байх (Senior түвшин).,Техникийн ур чадвар,"Java, Python, .NET, JavaScript/TypeScript (React, Node.js) зэрэг хэлнүүд болон SQL/NoSQL өгөгдлийн санг гүнзгий эзэмшсэн байх.",Cloud болон DevOps,"AWS, GCP, Azure зэрэг Cloud технологиуд болон Docker, Kubernetes, CI/CD процессын мэдлэгтэй байх.",Гадаад хэл,"Техникийн бичиг баримт унших, гадны багтай харилцах түвшний Англи хэлний мэдлэгтэй байх.",Улирлын болон жилийн урамшуулал,"Гүйцэтгэлээс хамаарсан улирлын болон жилийн эцсийн урамшуулал олгодог. (Жишээ нь: Юбикаб, AND Global)",Хувийн эрүүл мэндийн даатгал,Хувийн эмнэлгүүдэд үйлчлүүлэх боломжтой эрүүл мэндийн даатгалын багц.,Уян хатан цаг / Зайнаас ажиллах,Ажлын цагаа зохицуулах болон зарим өдөр гэрээсээ ажиллах боломж.,Хоолны хөнгөлөлт,Өглөө эсвэл өдрийн хоолоор үнэ төлбөргүй хангах үйлчилгээ.,Сургалтын дэмжлэг,Мэргэжил дээшлүүлэх сургалтын төлбөрийн дэмжлэг үзүүлдэг.
Чиг үүргийн удирдлага,2500000,10000000,5750000,"Эдгээр удирдах албан тушаалуудад (C-level, Director, Head of Dept) тавигдах шаардлага нь зөвхөн боловсрол, туршлагаар хязгаарлагдахгүй бөгөөд зөөлөн ур чадвар (Soft skills) буюу манлайлал, харилцааны соёл, багаар ажиллах чадварыг чухалчилдаг. Мөн олон улсын түвшинд ажиллах чадвар буюу гадаад хэлний мэдлэг нь цалингийн хэмжээнд шууд нөлөөлдөг гол хүчин зүйл юм.","Удирдах түвшний албан тушаалтнуудын (Захирал, Хэлтсийн дарга, Ерөнхий менежер) цалингийн багцад үндсэн цалингаас гадна гүйцэтгэлээс хамаарсан улирлын болон жилийн эцсийн урамшуулал өндөр хувь эзэлдэг. Мөн томоохон групп компаниуд хувийн эрүүл мэндийн даатгал, унаа, хоолны хөнгөлөлт, гар утасны төлбөр болон орон сууцны дэмжлэг зэрэг нэмэлт хангамжуудыг санал болгодог.",78,65,13,Боловсрол,"Тухайн чиглэлээр (Бизнесийн удирдлага, Санхүү, Инженер г.м) бакалавр болон түүнээс дээш зэрэгтэй байх, магистрын зэрэгтэй бол давуу тал болно.",Ажлын туршлага,"Мэргэжлээрээ 5-10 жил, үүнээс удирдах албан тушаалд (баг, хэлтэс, газар удирдсан) дор хаяж 3-5 жил ажилласан туршлагатай байх.",Гадаад хэл,Англи хэлний ахисан түвшний мэдлэгтэй байх (Бизнесийн харилцааны түвшинд). Орос эсвэл Хятад хэлтэй бол нэмэлт давуу тал болно.,Ур чадвар,"Стратеги төлөвлөлт хийх, баг удирдан зохион байгуулах, манлайлах, асуудал шийдвэрлэх, шийдвэр гаргах чадвар.",Мэргэжлийн мэдлэг,"Тухайн салбарын (Уул уурхай, Банк санхүү, Барилга, Худалдаа г.м) хууль эрх зүй, стандарт, зах зээлийн гүнзгий мэдлэгтэй байх.",Гүйцэтгэлийн урамшуулал,Ажилтны ажлын гүйцэтгэл болон компанийн ашгаас хамааран олгодог урамшуулал (KPI). Ихэвчлэн хагас жил эсвэл бүтэн жилээр тооцдог.,Хувийн эрүүл мэндийн даатгал,Ажилтан болон түүний гэр бүлийн гишүүдэд зориулсан хувийн эмнэлгүүдэд үйлчлүүлэх эрх бүхий даатгал.,Унааны хөнгөлөлт / Компанийн машин,"Ажилдаа ирж очих унааны зардал эсвэл компанийн унаагаар хангах, бензиний хөнгөлөлт.",Хоолны хөнгөлөлт,Компаниас ажилтанд олгох өдрийн хоолны мөнгөн тэтгэмж эсвэл үнэгүй хоолоор хангах.,Орон сууцны дэмжлэг,Тогтвор суурьшилтай ажилласан удирдах ажилтнуудад олгодог орон сууцны урьдчилгаа эсвэл түрээсийн дэмжлэг.
Гүйцэтгэх захирал,3000000,20000000,8000000,"Гүйцэтгэх захирлын албан тушаалд тавигдах шаардлага нь компанийн хэмжээнээс хамааран өөр өөр байна. Жижиг, дунд компаниудад 3-5 жилийн туршлага шаарддаг бол томоохон групп компаниудад дор хаяж 5-10 жилийн удирдах ажлын туршлага, бизнесийн стратеги боловсруулах чадвар, англи хэлний өндөр мэдлэгийг чухалчилдаг. Мөн санхүүгийн гүнзгий мэдлэг болон манлайллын ур чадвар зайлшгүй шаардлагатай.","Гүйцэтгэх захирлын албан тушаалд үндсэн цалингаас гадна гүйцэтгэлд суурилсан урамшуулал (KPI) болон жилийн эцсийн бонус өндөр хувь эзэлдэг. Ялангуяа томоохон групп компаниуд (Жишээ нь: Таван Богд Групп) орон сууцны дэмжлэг, хувийн эрүүл мэндийн даатгал, ажилчдын хямдрал зэрэг нийгмийн хангамжийн багцуудыг санал болгож байна.",18,16,2,Боловсрол,"Бизнесийн удирдлага, санхүү, эдийн засгийн чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй байх шаардлагатай.",Ажлын туршлага,"Гүйцэтгэх удирдлагын түвшинд 5-аас доошгүй жил, нийт 10-аас дээш жил ажилласан туршлагатай байх.",Гадаад хэл,"Англи хэлний ахисан түвшний мэдлэгтэй байх, олон улсын түншүүдтэй хэлэлцээр хийх чадвартай байх.",Ур чадвар,"Санхүүгийн модель дээр үр ашгийн тооцоолол хийх, дунд болон урт хугацааны бизнесийн стратеги боловсруулах чадвар.",Манлайлал,"Баг хамт олныг удирдан зохион байгуулах, манлайлах, оновчтой шийдвэр гаргах чадвартай байх.",Жилийн эцсийн бонус,"Гүйцэтгэх захирлын түвшинд компанийн жилийн ашиг, гүйцэтгэлээс хамааран жилийн эцсийн урамшуулал олгодог.",Эрүүл мэндийн даатгал (Хувийн),Томоохон групп компаниуд удирдах албан тушаалтанд хувийн эрүүл мэндийн даатгалын багц санал болгодог.,Орон сууцны дэмжлэг,Удирдах ажилтныг тогтвор суурьшилтай ажиллуулах зорилгоор орон сууцны дэмжлэг үзүүлэх тохиолдол байдаг.,Ажилчдын хямдрал,"Компанийн бүтээгдэхүүн, үйлчилгээг хөнгөлөлттэй үнээр авах эрх.",Гүйцэтгэлийн урамшуулал,Гүйцэтгэлд суурилсан удирдлагын тогтолцооны дагуу KPI үр дүнгээс хамаарсан нэмэлт урамшуулал.
Ахисан түвшний мэргэжилтэн,1800000,9000000,3500000,"Ажил олгогчид ихэвчлэн мэргэжлийн 3-5 жилийн туршлагатай, бакалавр болон түүнээс дээш зэрэгтэй, англи хэлний мэдлэгтэй, мэргэжлийн программ хангамжуудыг бүрэн эзэмшсэн байхыг чухалчилж байна. Мөн багаар ажиллах болон хувийн зохион байгуулалт сайтай байх нь нийтлэг тавигдаж буй шаардлага юм.","Өгөгдсөн ажлын зарууд дээр үндэслэн ахисан түвшний мэргэжилтнүүдэд үндсэн цалингаас гадна гүйцэтгэлд суурилсан улирлын болон жилийн эцсийн бонус, хувийн эрүүл мэндийн даатгал, хоолны хөнгөлөлт зэрэг нэмэлт хангамжууд нийтлэг байна. Ялангуяа IT болон уул уурхайн салбарт урамшууллын багц илүү өргөн хүрээтэй байна.",133,119,14,Боловсрол,Тухайн мэргэжлээр бакалавр болон түүнээс дээш боловсролын зэрэгтэй байх шаардлагатай.,Ажлын туршлага,Ахисан түвшний мэргэжилтний албан тушаалд ихэвчлэн 3-аас дээш жилийн мэргэжлийн туршлага шаардаж байна.,Гадаад хэл,"Англи хэлний дундаас дээш түвшний мэдлэгтэй байх (ялангуяа IT, менежмент, инженерийн чиглэлд).",Техникийн ур чадвар,"Мэргэжлийн чиглэлийн программууд (ERP, AutoCAD, Програмчлалын хэлүүд, MS Office) дээр ахисан түвшинд ажиллах чадвар.",Хувийн ур чадвар,"Багаар ажиллах, асуудал шийдвэрлэх, дүн шинжилгээ хийх, харилцааны өндөр соёлтой байх.",Жилийн эцсийн бонус,Гүйцэтгэл болон компанийн ашгаас хамааран жилд нэг удаа олгогдох урамшуулал.,Улирлын бонус,Ажлын гүйцэтгэлийн үнэлгээнд суурилан улирал тутам олгох нэмэгдэл цалин.,Хувийн эрүүл мэндийн даатгал,Ажилтны эрүүл мэндийг дэмжих зорилгоор хувийн эмнэлгүүдэд үйлчлүүлэх эрх бүхий даатгал.,Үдийн хоол /төлбөргүй/,Ажилтны өдрийн хоолны зардлыг компаниас бүрэн даах эсвэл хөнгөлөлт үзүүлэх.,Уян хатан ажлын цаг / Зайнаас ажиллах,Ажилтан ажлын цагаа өөрөө зохицуулах эсвэл зайнаас ажиллах боломж (IT болон оффисын ажлуудад түгээмэл).
Дэд захирал,2000000,10500000,5625000,"Энэхүү түвшний албан тушаалд салбарын онцлогоос хамааран нарийн мэргэшлийн мэдлэг болон олон жилийн удирдах ажлын туршлагыг чухалчилдаг. Ялангуяа стратеги төлөвлөлт хийх, томоохон баг удирдах чадвар, гадаад хэлний өндөр мэдлэг нь цалингийн хэмжээг тодорхойлоход гол нөлөө үзүүлдэг.","Гүйцэтгэх удирдлага болон захирлын түвшний албан тушаалууд нь үндсэн цалингаас гадна гүйцэтгэлээс хамаарсан урамшуулал (KPI), жилийн эцсийн бонус, компанийн ашгаас хүртэх боломж зэрэг санхүүгийн өгөөж өндөртэй байдаг. Мөн хувийн эрүүл мэндийн даатгал, унаа, хоолны хөнгөлөлт, сургалтын дэмжлэг зэрэг нийгмийн хангамжууд түгээмэл багтдаг.",24,8,16,Боловсрол,"Бизнесийн удирдлага, Санхүү, Инженерчлэл эсвэл тухайн салбарын чиглэлээр магистр болон түүнээс дээш зэрэгтэй байх.",Ажлын туршлага,"Удирдах албан тушаалд багадаа 3-5 жил, нийт 8-аас дээш жил ажилласан туршлагатай байх шаардлагатай.",Гадаад хэл,Англи хэлний ахисан түвшний мэдлэгтэй байх (бусад гадаад хэл давуу тал болно).,Ур чадвар,"Стратеги төлөвлөлт, манлайлал, баг удирдах, шийдвэр гаргах өндөр ур чадварууд.",Мэргэжлийн мэдлэг,"Тухайн салбарын (уул уурхай, банк санхүү, барилга гэх мэт) хууль эрх зүй, стандартын гүнзгий мэдлэгтэй байх.",Жилийн эцсийн бонус,Гүйцэтгэлийн үндсэн үзүүлэлт (KPI) болон компанийн ашгаас хамааран олгодог жилийн эцсийн мөнгөн урамшуулал.,Хувийн эрүүл мэндийн даатгал,Хувийн эмнэлгүүдэд үйлчлүүлэх боломжтой эрүүл мэндийн багц даатгал.,Компанийн хувьцаа / Ашгаас хүртэх,Гүйцэтгэх удирдлагын түвшний албан тушаалд компанийн хувьцаа эзэмших эсвэл цэвэр ашгаас хувь хүртэх боломж.,Сургалтын төлбөрийн дэмжлэг,"Мэргэжил дээшлүүлэх сургалт, зэрэг хамгаалах сургалтын төлбөрийн бүрэн буюу хэсэгчилсэн дэмжлэг.",Улирал/Хагас жилийн бонус,Улирал эсвэл хагас жил тутамд ажлын үр дүнгээс хамаарч олгох нэмэлт урамшуулал.
